timestamp,state,description,oilPressure,coolantTemperature,engineRPM,engineVibration,batteryVoltageDC,gensetVoltageAC,gensetCurrentAC,gensetFrequencyAC,gensetPowerAC,fuelLevel,hoursMeter
2025-07-01 08:00:00,Normal,Normal Operation,3.62,30.0,1548.2,49,13.2,229.61,15.96,50.12,11381.65,80.0,1352.721
2025-07-01 08:00:05,Normal,Normal Operation,3.48,30.1,1620.23,68,13.03,222.94,14.09,50.01,12584.24,79.99,1352.723
2025-07-01 08:00:10,Normal,Normal Operation,3.55,30.2,1665.89,45,13.18,226.86,17.19,49.87,12167.44,79.99,1352.724
2025-07-01 08:00:15,Normal,Normal Operation,3.23,30.3,1636.71,52,12.94,226.79,14.11,50.0,11990.22,79.99,1352.726
2025-07-01 08:00:20,Normal,Normal Operation,3.66,30.4,1543.58,51,13.02,227.22,13.72,50.1,10710.56,79.98,1352.727
2025-07-01 08:00:25,Normal,Normal Operation,3.14,30.5,1584.78,36,12.94,226.53,15.92,49.93,11610.18,79.98,1352.728
2025-07-01 08:00:30,Normal,Normal Operation,3.97,30.6,1527.21,51,12.9,226.71,13.64,50.03,11324.86,79.98,1352.73
2025-07-01 08:00:35,Normal,Normal Operation,3.67,30.7,1642.3,47,12.84,225.57,17.15,50.2,12084.27,79.97,1352.731
2025-07-01 08:00:40,Normal,Normal Operation,3.4,30.8,1614.54,61,12.84,222.62,15.32,50.09,12086.03,79.97,1352.732
2025-07-01 08:00:45,Normal,Normal Operation,3.72,30.9,1671.96,45,12.87,225.47,11.75,50.08,12188.68,79.96,1352.734
2025-07-01 08:00:50,Normal,Normal Operation,3.89,31.0,1699.94,52,12.67,226.67,14.3,50.05,12203.06,79.96,1352.735
2025-07-01 08:00:55,Normal,Normal Operation,3.56,31.1,1544.03,50,12.89,224.46,16.6,49.96,12493.32,79.96,1352.737
2025-07-01 08:01:00,Normal,Normal Operation,3.52,31.2,1597.1,53,12.81,222.94,14.61,49.89,11758.41,79.95,1352.738
2025-07-01 08:01:05,Normal,Normal Operation,3.41,31.3,1559.74,55,12.9,225.16,16.63,49.93,12233.42,79.95,1352.739
2025-07-01 08:01:10,Normal,Normal Operation,3.3,31.4,1553.76,70,13.17,227.44,11.62,50.05,12094.16,79.95,1352.741
2025-07-01 08:01:15,Normal,Normal Operation,3.72,31.5,1469.96,53,13.48,224.16,13.78,49.98,12258.07,79.94,1352.742
2025-07-01 08:01:20,Normal,Normal Operation,3.53,31.6,1588.11,63,13.04,222.41,13.78,49.72,11988.96,79.94,1352.744
2025-07-01 08:01:25,Normal,Normal Operation,3.64,31.7,1588.02,44,12.62,224.45,17.4,49.99,11160.64,79.94,1352.745
2025-07-01 08:01:30,Normal,Normal Operation,3.69,31.8,1610.92,43,13.11,224.86,15.75,49.84,12192.32,79.93,1352.746
2025-07-01 08:01:35,Normal,Normal Operation,3.8,31.9,1614.89,34,13.28,227.42,15.31,50.03,12756.12,79.93,1352.748
2025-07-01 08:01:40,Normal,Normal Operation,3.26,32.0,1629.31,51,12.78,229.68,16.58,49.98,11613.7,79.93,1352.749
2025-07-01 08:01:45,Normal,Normal Operation,3.22,32.1,1620.95,44,12.95,226.25,14.71,50.0,11618.52,79.92,1352.751
2025-07-01 08:01:50,Normal,Normal Operation,3.45,32.2,1685.81,52,12.93,224.52,14.12,49.91,11481.51,79.92,1352.752
2025-07-01 08:01:55,Normal,Normal Operation,3.11,32.3,1582.2,54,13.21,221.39,15.11,50.05,11544.17,79.92,1352.753
2025-07-01 08:02:00,Normal,Normal Operation,3.33,32.4,1522.24,39,12.99,225.45,16.38,49.83,12591.17,79.91,1352.755
2025-07-01 08:02:05,Normal,Normal Operation,3.37,32.5,1582.07,35,13.11,227.18,12.72,50.05,11841.9,79.91,1352.756
2025-07-01 08:02:10,Normal,Normal Operation,3.53,32.6,1599.37,43,13.24,228.45,15.67,49.95,12444.68,79.91,1352.757
2025-07-01 08:02:15,Normal,Normal Operation,3.16,32.7,1628.06,44,12.78,225.31,14.41,49.98,12693.7,79.9,1352.759
2025-07-01 08:02:20,Normal,Normal Operation,3.35,32.8,1613.13,55,13.19,224.64,15.04,50.06,11433.17,79.9,1352.76
2025-07-01 08:02:25,Normal,Normal Operation,3.5,32.9,1569.06,53,13.16,224.39,13.88,49.96,11992.79,79.89,1352.762
2025-07-01 08:02:30,Normal,Normal Operation,3.49,33.0,1609.05,46,13.45,224.62,15.96,50.09,12289.03,79.89,1352.763
2025-07-01 08:02:35,Normal,Normal Operation,3.41,33.1,1599.82,56,12.59,223.75,16.64,49.93,11299.08,79.89,1352.764
2025-07-01 08:02:40,Normal,Normal Operation,3.78,33.2,1686.97,54,12.94,223.16,17.78,49.98,11550.7,79.88,1352.766
2025-07-01 08:02:45,Normal,Normal Operation,3.37,33.3,1597.75,42,12.79,225.53,11.5,49.98,11729.74,79.88,1352.767
2025-07-01 08:02:50,Normal,Normal Operation,3.22,33.4,1571.45,53,13.32,225.82,13.92,49.85,11868.64,79.88,1352.769
2025-07-01 08:02:55,Normal,Normal Operation,3.76,33.5,1586.83,49,13.13,227.68,16.32,50.14,11515.2,79.87,1352.77
2025-07-01 08:03:00,Normal,Normal Operation,3.66,33.6,1689.6,66,12.95,230.23,14.79,49.81,11879.75,79.87,1352.771
2025-07-01 08:03:05,Normal,Normal Operation,3.15,33.7,1599.55,31,12.95,221.0,14.04,50.01,11494.51,79.87,1352.773
2025-07-01 08:03:10,Normal,Normal Operation,3.65,33.8,1582.51,55,12.61,227.8,15.12,50.13,12115.56,79.86,1352.774
2025-07-01 08:03:15,Normal,Normal Operation,3.35,33.9,1578.1,59,12.81,223.46,16.67,49.88,12002.6,79.86,1352.776
2025-07-01 08:03:20,Normal,Normal Operation,3.57,34.0,1557.67,60,13.06,224.66,15.05,50.1,11175.86,79.86,1352.777
2025-07-01 08:03:25,Normal,Normal Operation,3.48,34.1,1696.99,63,13.01,227.11,12.35,50.07,11707.62,79.85,1352.778
2025-07-01 08:03:30,Normal,Normal Operation,3.44,34.2,1594.55,55,12.91,225.18,13.44,50.05,12231.72,79.85,1352.78
2025-07-01 08:03:35,Normal,Normal Operation,3.59,34.3,1534.2,39,13.09,223.91,13.58,49.97,12684.77,79.85,1352.781
2025-07-01 08:03:40,Normal,Normal Operation,3.96,34.4,1604.08,55,12.69,222.69,16.64,49.93,11396.73,79.84,1352.782
2025-07-01 08:03:45,Normal,Normal Operation,3.23,34.5,1541.65,52,13.33,224.38,13.94,49.84,11937.88,79.84,1352.784
2025-07-01 08:03:50,Normal,Normal Operation,3.38,34.6,1583.54,44,12.93,224.12,13.75,49.92,11913.44,79.84,1352.785
2025-07-01 08:03:55,Normal,Normal Operation,3.36,34.7,1630.7,47,13.12,223.95,14.05,49.87,12128.0,79.83,1352.787
2025-07-01 08:04:00,Normal,Normal Operation,3.38,34.8,1470.24,43,13.19,226.24,15.38,49.87,11808.07,79.83,1352.788
2025-07-01 08:04:05,Normal,Normal Operation,3.52,34.9,1587.89,60,13.08,224.72,14.92,49.8,11071.85,79.82,1352.789
2025-07-01 08:04:10,Normal,Normal Operation,3.58,35.0,1564.62,48,13.15,225.53,16.36,50.05,11998.26,79.82,1352.791
2025-07-01 08:04:15,Normal,Normal Operation,3.63,35.1,1561.01,46,13.2,224.35,13.87,49.96,12360.56,79.82,1352.792
2025-07-01 08:04:20,Normal,Normal Operation,3.79,35.2,1655.16,47,13.1,223.23,15.85,50.01,12134.72,79.81,1352.794
2025-07-01 08:04:25,Normal,Normal Operation,3.72,35.3,1528.23,54,12.72,222.7,14.39,50.12,11307.2,79.81,1352.795
2025-07-01 08:04:30,Normal,Normal Operation,3.57,35.4,1494.23,57,12.86,223.18,18.24,49.98,12650.52,79.81,1352.796
2025-07-01 08:04:35,Normal,Normal Operation,3.77,35.5,1589.29,52,12.82,222.54,16.04,50.03,11736.69,79.8,1352.798
2025-07-01 08:04:40,Normal,Normal Operation,3.66,35.6,1600.54,43,13.11,223.59,17.63,50.11,12360.46,79.8,1352.799
2025-07-01 08:04:45,Normal,Normal Operation,3.41,35.7,1575.16,52,13.0,226.64,19.33,49.97,12470.43,79.8,1352.801
2025-07-01 08:04:50,Normal,Normal Operation,3.9,35.8,1586.31,51,13.13,226.11,13.44,50.17,12025.42,79.79,1352.802
2025-07-01 08:04:55,Normal,Normal Operation,3.57,35.9,1563.9,57,12.69,225.59,14.69,50.02,11301.99,79.79,1352.803
2025-07-01 08:05:00,Normal,Normal Operation,3.36,36.0,1636.43,49,13.15,223.32,15.33,50.08,11742.51,79.79,1352.805
2025-07-01 08:05:05,Normal,Normal Operation,3.52,36.1,1628.64,47,13.0,226.17,17.87,49.89,12257.69,79.78,1352.806
2025-07-01 08:05:10,Normal,Normal Operation,3.24,36.2,1604.3,60,12.77,226.7,18.26,50.11,12326.31,79.78,1352.807
2025-07-01 08:05:15,Normal,Normal Operation,3.32,36.3,1651.67,47,13.06,219.06,15.45,49.88,12845.19,79.78,1352.809
2025-07-01 08:05:20,Normal,Normal Operation,3.55,36.4,1682.76,59,12.67,224.22,16.87,50.0,12066.66,79.77,1352.81
2025-07-01 08:05:25,Normal,Normal Operation,3.46,36.5,1607.54,64,13.2,225.53,12.93,49.9,11038.03,79.77,1352.812
2025-07-01 08:05:30,Normal,Normal Operation,3.57,36.6,1615.72,42,12.92,222.81,18.76,49.96,11819.68,79.77,1352.813
